kwookwilkwowit,	kwookwilkowit,
Mah a:mo moelka:wa.	Para que no se pierda este conocimiento.
ahwia:kka:yo:t.	suelta un aroma.
Ke:mah.	Sí.
Wa:n yo:n, ke:n kiliah, mohmotmeh.	Y a los que les llamamos mohmotmeh.
Mohmot wa:n chechelo:t yo:n semi tel [i]takwal no:.	El mohmot y la ardilla se alimentan de estos frutos.
yo:n chiktehmeh kiliah mohmotmeh,	esos pájaros que les llaman mohmotmeh,
yo:n chechelo:meh tein,	las ardillas que,
yo:n no:, no: semi kwelitah.	esos también, también les gusta mucho.
Ke:mah.	Sí.
mah se: kitohto:ka.	que lo siembre uno.
mah ta:ki sah, a:chá: mah ixwa sah. Sanoke komo tiknehnekih wa:n tikwelitah, mah t'tohto:kaka:n	que de frutos, bueno que no nazca por sí solo. Sino que, si realmente nos gusta, que lo sembremos
wa:n ka:mpa kitepe:wah kite:matih, olo:chixwa.	y donde lo riegan, las echan, germina en grandes manojos.
Yo:n selia, yo:n a:mo mone:neki.	Ese sí retoña, no se chiquea.
mah se: kita:kachi:wa yo:n kowta:kilo:tsí:n para nochipa tikpiaskeh toni ika timopale:wi:skeh.	hay que cuidar ese fruto para que siempre tengamos con qué ayudarnos.
a:mo teh totapalo:ltsi:n,	no tenemos comida,
wa:n tikmahse:wah ya, ika 'tamahse:wah ya. Eh.	pues ya lo comemos, con ello nos alimentamos. Eh.
ne: ka:mpa motanamaka pos nochi, nochi tomi:n.	allá en el mercado, pues es mucho dinero lo que se gasta.
Mm. A:mo nikmati, ta:ká:n oksé: tatsi:ntokalis tikneki tikmatis pos xne:chtahtani wa:n	Mm. No sé si quieres hacerme otra pregunta, algo que quieras saber, pregúntame y
Onkak seki xiwit no: kowtah mochi:wa, iwkitik a nexkihit soh achi,	Hay otro tipo de planta que también crece en el monte, se parece al nexkihit sólo que son más
tsikitsitsi:n, amo: moskaltia semi.	pequeños, no crece tanto.
A:mo n'mati xa: tikmati ke:ní:w mono:tsa wa:n ox teihsá: se: kikwi.	No sé si sepas cómo se llama y si se ocupa para algo.
Sanoke sayoh ne: a:mo moskaltia	Sólo que no crece
wa:n xiwtsí:n semi no: pisi:ltik, tsikitsitsí:n,	y las hojas también son muy chiquitas, pequeñas,
wa:n a:mo wehkapan moskaltia ke:meh nexkihit.	y no crece alta como el nexkihit.
Nexkihit kipia n' iahwia:kka:yo pero mah semi, semi, semi tepitsi:n sah.	El nexkihit tiene un buen aroma pero es más suave.
Wa:n yo:n nexkihit tein tine:chilihtok n' teh, nimitsilia itahta:y,	Y el itahta:i del nexkihit, 
wa:n xkihnekwi,	y huele,
tein se: kimahse:wa.	el que es comestible.
pos toni no: tikwa:li:ti ta: pisi:ltik n' iteyotsi:n mahyá: yo:n,	pues qué vas a comer de este fruto, pues son muy pequeños como el,
mahyá: yo:n a:mo teihsá: eskia. Pos 'ma:pa:ta ihkó:n tamipa:ti nochi ika ie:wayo, a:mo tikihto:tih tikmahse:watih.	como si no fuera un fruto. Pues al machacar con las manos, se deshace con todo y cáscara, no lo podemos comer.
¿Toni xkwali, toni xmahse:wa n' ke:meh yo:n? Wa:n nexkihit name:chilia neh	¿Qué vas a comer de ello? y les digo que el nexkihit
¿no: kikwah okwilimeh oso a:mo kikwah?	¿También se comen los animales o no?
ie:wayo sah.	es pura cáscara.
pos ahwia:k pero semi, semi a:mo tapa wa:n ne:n oksentaman,	pues también tiene un olor pero ese olor no impregna a la masa pero el otro,
ke:ní:w n' kichi:wah?	cómo lo hacen?
Yo:n a:mo, yo:n kikwih,	Ese no, ese lo usan,
pos para ton tiknekih tikwiskeh yo:n, yo:n xiwtsí:n pos,	pues ya no hay necesidad de usar esas hojitas pues,
ompa pe:wa selia.	ahí salen nuevas plántulas.
para, para pe:was moselyo:ti:s.	para que ya crezca.
Wa:n okseki a:mo, okseki sayoh xwiwita wa:n xtamo:ta ne:wí:n wa:n ompa pe:wa selia ya.	Y las otras plantas no es así, solamente las arrancas y las tiras por ahí, nuevamente la planta se desarrolla. 
Wa:n tein te:chpale:wia tikmattokeh se: ta:kilo:tsí:n tein te:chpale:wia pos,	Y lo que nos ayuda, cuando sabemos que un fruto nos puede aportar pues,
A:xka:n oksé: no: a:mo nikmati, mm,	Ahora, otra cosa, no sé, mm,
nexkihit tein nimitsilwia,	el nexkihit del que te digo,
Mah tikihto:ka:n xe:xeliwtos name:chnohno:tsas ika yo:n.	Digamos, les platico por separado sobre esa planta.
Kachi kwali xe:xeliwtos.	Es mejor por separado.
pos ne: nejó:n talna:miki:lis mah a:mo tikelka:waka:n, ke:meh tikihtowah, name:chilia neh ika yo:n	pues ese conocimiento que no se nos olvide, así decimos, yo les digo sobre eso
pos se: nepale:wi:lis para tehwa:n.	pues ya nos ayudamos un poco.
Pos yehwa yo:n talna:miki:lis mah a:mo tikelka:wa:ka:n, mah tikine:xtili:ka:n topi:pilwa:n,	Pues ese el conocimiento que sabemos, que no se nos olvide, que les enseñemos a nuestros hijos,
mokoyo:nekih ya, a:mo no: kinekih kikwa:skeh ok n' tein tehwa:n tikmahse:wayah.	ya se sienten mestizos, ya no quieren comer lo que nosotros comiamos. 
A:xka:n a:mo, a:xka:n tikitah n' topi:pilwa:n,	Ahora ya no, ahora vemos a nuestros hijos
kikwa:snekih nochi koyo:tapalo:l,	quieren comer las comidas procesadas,
toxwi:wa:n, mah tikini:xeka:naka:n.	a nuestros nietos, que les enseñemos.
Ihkó:n ke:meh ne:ka to:nal tehwa:n timotekipanohkeh,	Así como nosotros nos alimentamos en aquéllos tiempos,
yo:n semi kwaltsi:n mah tikihto:ka:n tehwa:n.	eso, digamos que es muy bonito.
koyo:tapalo:l mah tikihto:ka:n,	de los que llamamos alimentos industrializados,
Mm. Wa:n sayoh ximonemili no: n' tehwa:tsi:n, a:mo nikmati	Mm. Pues solamente imaginate, no sé
nochipa kwaltsi:n tikimpiaskeh topi:pilwa:n wa:n toxwi:wa:n.	nuestros hijos siempre estarán sanos.
Yehwa sah yo:n name:chtapowih.	Solamento eso es lo que les he contado.
'Ne:chtapohpolwi:ka:n miak neh noto:ka:y Rubén Macario	Disculpenme, yo me llamo Rubén Macario
Neh niki:xmattok	Yo conozco
o:me ta:man ochpa:wa:s.	dos tipos de ochpa:wa:s.
wa:n se: yo:n kiliah ma:pisi:lochpa:wa:s,	segundo es el que le llaman ma:pisi:lochpa:wa:s
mahyá: exo:tsitsí:n. Yo:n no: ochpa:wa:s.	como si fueran ejotitos. Ésa planta también es ochpa:wa:s.
E:yi taman ochpa:wa:s neh niki:xmattok.	Yo conozco tres tipos de ochpa:wa:s.
Wa:n i:n ma:pisi:lochpa:wa:s tikihtohtokeh,	Y el ma:pisi:lochpa:wa:s del que estamos hablando,
yeh moskaltia itech, itech ixta:wat, o itech kahfe:ntah.	se da en el, en el potrero o en el cafetal.
ke:meh o:me, o:me ma:kpal sah, mah tikihto:ka:n o:me tamachi:w.	como dos, digamos como dos cuartas, dos medidas.
O:me ma:kpal kihto:sneki, o:me kwa:rtah, o:me ma:kpal.	dos medidas de la mano significa dos cuartas.
ochpa:wa:s ke:meh a:man tehwa:n tikihtowah.	la escoba como actualmente nosotros decimos. 
Pero tehwa:n tima:se:waltsitsí:n timoskaltihkeh wa:n tiki:xmatkeh n' tehwa:n yehwa n' ochpa:wa:s	Pero nosotros crecimos como ma:se:walmeh y conocimos el ochpa:wa.s
yehwa, ne:n, xo:no:ochpa:wa:s,	que es el xo:no:ochpa:wa:s,
komo a:mo yehwa yo:n kiliah ma:pisi:lochpa:wa:s.	y si no pues el que le llaman ma:pisi:lochpa:wa:s.
Yehwa yo:n tehwa:n semi t'tatekiwtia:yah.	Ésos son los que nosotros ocupábamos para barrer.
Wa:n no: kwaltia ne: ma:pisi:lochpa:wa:s ke:meh i:n ka:mpa,	Y también se puede ocupar el ma:pisi:lochpa:wa:s en donde, 
ka:mpa tikpiah tokalekawiltsi:n de,	tenemos techada nuestra casita con,
tapalkat.	techo de teja. 
Mm. Pero tehwa:n tikiliah tapalkat.	Mm. Pero nosotros le llamamos tapalkat.
Entó:s yo:n kikwih	Entonces usan el ma:pisi:lochpa:wa:s
para kichipa:wah.	para limpiar.
yehwa yo:n tapalkat nimitsilia neh.	de teja como te decía.
de wehka:wa ya.	de que tarda unos años.
totiko:n ke:meh a:man koyo:tiko:mit. Tehwa:n timoskaltihkeh tiki:xmatiah tiko:mit,	el fogón que actualmente usan los koyo:meh. Nosotros, cuando nosotros crecimos conocíamos el fogón
toma:se:waltiko:n.	de los ma:se:wa:lmeh.
se: ko:nkechtayo:t,	olla vieja,
Entó:s yo:n tiko:mit a:mo kanah kipiaya ka:ni n' ki:sas m' po:kti,	Entonces el fogón no contaba con una salida para que salga el humo,
Ika kichipa:wah. Mm.	Con ésa planta limpian las tejas. Mm.
Yehwa yo:n, neh yehwa yo:n nikmati para kwaltia,	Eso es, eso es lo que yo sé que usan para,
kwaltia para yehwa yo:n kitatekiwtiah	usan la planta para limpiar
Ne: n' xo:no:ochpa:wa:s, ¿yeh para ton kwaltia?	El xo:no:ochpa:wa:s ¿para qué la usan?
Pos xo:no:ochpa:wa:s tehwa:n no: t'tatekiwtia:yah,	Pues el xo:no:ochpa:wa:s nosotros también la ocupábamos,
Yo:n mah kimolo:nti:ka:n wa:n mah ika se: mome:metspa:ka.	Hierven las hojas y enseguida se lava uno los pies varias veces.
Wa:n no: kwaltia mah se: tai,	Y también se puede tomar en té,
se: sepatika ata tikihtowah se: a:xi:xtsakwi.	a veces decimos que tenemos dificultades para orinar.
Yo:n no: kwali, ne:n, yehwa n' ochpa:wa:s, xo:no:ochpa:wa:s.	Ésa planta también es medicinal, el ochpa:wa:s, xo:no:ochpa:wa:s.
Wa:n yo:n sepa se: a:xi:xtsakwi, toni	Y cuando uno tiene dificultades para orinar es, 
Yehwa yo:n para tehwa:n tiktatekiwtiah.	Nosotross usamos ésa planta para curarnos.
Inalwayo wa:n ixiwyo.	Se usan sus raíces y sus hojas.
O:me taman.	Son dos tipos.
xo:no:ochpa:wa:s no:, tein yehwa n' tein nimitsilia moskaltia wehkapan,	es el xo:no:ochpa:wa:s del que te platico que crece más alto,
ochpa:was tein timolwihtokeh, n' xo:no:ochpa:wa:s.	ochpa:wa:s del que estamos platicando, el xo:no:ochpa:wa:s.
Yo:n yeh xo:chiowa n' ixo:chiotsi:n,	Ésa planta florece, sus flores son,
Yo:n poso:ni itech nepantah.	Sus flores se abren a mediodía.
X'nehmachitaka:n, semi, semi x'nehmachitaka:n,	Pongan mucha atención, obsérvenlo con mucha atención,
ampowí:n ke:meh nepantah pe:wa ya xo:chiowa ya,	por como a mediodía empiezan a abrirse sus flores, 
Sepa pe:wa i:xmiki nono. Yo:n yehwa n' tehwa:n tikihtowah nepantah, kihtowah nepantahochpa:wa:sxo:chit. Mm.	A ésa hora empiezan a marchitarse. Ésa planta es la que nosotros le llamamos nepantahochpa:wa:sxo:chit. Mm.
N' o:me ochpa:wa:s tein tikihtowa:ya ne:n xo:no:ochpa:wa:s wa:n seki tikilia n' teh ma:pisi:lochpa:wa:s, ¿kati:ni ne:n kachi kwaltia ika se: tachpa:na?	De los dos ochpa:wa:s, el que le llamas xo:no:ochpa:wa:s y el ma:pisi:lochpa:wa:s, ¿cuál es que se usa más, o sirve más para barrer?
Wa:n tein kiliah xo:no:ochpa:wa:s,	Y el que le llaman xo:no:ochpa:wa:s, 
n' ima:yotsitsi:n. Telma:yehyema:nik.	sus ramas. Tiene las ramas muy flexibles.
Ke:mah, pero no: kwaltia, no: kwaltia se: kitatekiwtia para se: tachpa:nas.	Así es, pero también se puede usar, también se puede usar para barrer.
Pero yehwa nimitsilia neh semi achi niman pa:ti,	Pero como te platicaba que caen sus hojas más fácil, no dura,
wa:n semi yo:li:k para kiwi:ka ne:n tahsoltsí:n.	y se tienen más dificultades para juntar la basura.
Pero wehka:wa para no:, para ma:tepe:wi.	Pero tarda unos días para que empiecen a caer las hojas.
n'tatekiwti:ti ne: nikihto ika nitachpa:n ya wa:n mah n'to:nalta:li:ti ne:pa pos,	no hay que usar para barrer y enseguida se vaya a poner al sol porque
no:, no: niman wa:ki neli. No:, no: komohkó:n tiknehmachpia no:, ne:wí:n t'nehmachta:lia, ne:wí:n se: kaltechtsí:n wa:n	así también se podrá secar luego. Pero si lo cuidas también, al terminar de usar lo pones en algún rinconcito
mah a:mo kimaga n' to:naltsi:n pos no: wehka:wa n' yo:n. Ke:mah.	para que no le pegue el sol pues también tarda. Así es.
'te:chnohno:ts, 'ne:chili moto:ka:y wa:n ka:ni n' tiwa:le:wa.	nos platicaste, ahora dime tu nombre y de donde vienes.
nipowi Chi:lkowtah, nika:n,	pertenezco en Chi:lkowtah, acá, 
se: ta:totsi:n ompaka ne:wí:n	señor que vive por allá
yo:n xiwtsí:n.	ésa plantita.
Entó:s niehkok wa:n pe:wak nikilia ne: nosiwa:w,	Entonces al llegar a mi casa y le digo a mi esposa,
ma:ktiwi:ts sen taki:tskil. xxx	trae un rollo en la mano.
"¿Wa:n ke:yeh nakto:ka:ytiah", nikilia, "mia:waochpa:wa:s?"	"¿Y porqué le llaman mia:waochpa:wa:s?" Le digo
"¿A:mo, tikmati ke:yeh?", kihtowa.	"¿No sabes por qué?", dice.
ke:meh mia:wat", kihtowa.	son como la espiga", dice.
"A:, entó:s ihkó:n mono:tsa". Kihtowa, "Ke:mah.	" Aa, entonces así se llama". Dice, "sí"
ma:pisi:lochpa:wa:s wa:n xo:no:ochpa:wa:s", nikilia, "pero de yo:n ochpa:wa:s tein teh tikihtowa, mia:waochpa:wa:s,	el ma:pisi:lochpa:wa:s y el xo:no:ochpa:wa:s", le digo "pero del ochpa:wa:s al que tú le llamas mia:waochpa:wa:s,
Ika nikneki," nikmatis," nikilia, "ke:ní:w mono:tsa".	"Por eso quería saber cómo se llama" le digo.
wa:n niktahtanih ke:yeh n' kito:ka:ytia mia:waochpa:wa:s,	y también le pregunté por qué le llaman mia:waochpa:wa:s, 
wa:n para toni n' kikwia.	y también le pregunté para qué la usaban.
Entó:s n' ompa yo:n neh nimoka:w,	Entonces fue cuando me convencí,
Yehwa yo:n name:chye:kilwia neh,	Por eso digo lo que es cierto, 
neh a:mo no: semi nikmati ke:ní:w, a:mo wel nikne:nta:li:ti,	yo tampoco la conozco muy bien, no puedo inventarle su nombre
ke:ní:w mono:tsa yo:n ochpa:wa:s.	ella la conoce por su nombre de ochpa:wa:s.
ka:mpa cha:nchi:waya nosiwa:w semi yehwa yo:n katka kiwtia:yah.	en la casa de mi esposa usan mucho esa planta.
Yo:n iwkitik ke:meh i:pa nochi ne:n	Ésa planta se parece a todos los
n' ochpa:wa:s tein tikihtowa xo:no:ochpa:wa:s	ochpa:wa:s que tú lo conoces como xo:no:ochpa:wa:s
Wa:n yeh ta:ki n' ita:kilo.	Y los frutos, sus frutos.
Ita:kilo no: tepitsi:n kipata.	Sus frutos también cambian un poco.
sepatsi:n tikelna:miki tiahkah a:mo nikelna:miki ka:nikawí:n, kox	me acuerdo que una vez fuimos, no me acuerdo por donde, si
Wa:n ka:mpa tikitakeh ata seki ochpa:wa:s,	Y ahí vimos unas matas de ochpa:wa:s, 
seki ochpa:wa:s ata kipia n' iteyo we:weyak	una planta de ochpa:wa:s que tiene sus  frutos alargados
wa:n no: ihkó:n ya ne:n, ne:n, ne:n yo:n ochpa:wa:s.	y  también es parecido a éste, éste, éste ochpa:wa:s.
yeh ika kiliah, yeh ika kiliah tohmiyohochpa:wa:s.	por eso le llaman, por eso le llaman tohmiyohochpa:wa:s.
Wa:n n' oksé: yehwa n' tein neh nimitsilia,	Y el otro el del que te platicaba,
se: xiwtsí:n oso se: kowtsí:n,	una hierbita o un arbolito,
neh niki:xehekowa se:sepatika no: iwki eski.	yo pienso que en una planta también puede suceder lo mismo.
Wa:n yehwa ya m' pisi:lochpa:wa:s, e:yi taman, ke:mah.	Y el ma:pisi:lochpa:wa:s, son tres tipos.
¿Wa:n tein ma:tohmihyoh, ¿ke:niwki n' ixo:chio?	¿Y el ma:tohmiyoh cómo son sus flores?
Sayoh neh name:chilia kipata tepitsi:n ita:kilo,	Sólo que cambia un poquito en la forma de sus frutos como les platicaba,
sayoh n' ixiwyotsi:n, n' ixiwyotsi:n taman tikihtowah n' tehwa:n porin yeh ma:tohtohmiyoh.	sólo cambia en las hojitas, en las hojitas cambian porque son pubescentes. 
Ika yo:ni, ika yo:ni n' tehwa:n tikihtowah,	por eso nosotros decimos,
a:mo ke:man nikita ihkó:n mah tikwika:n. Pero, pero neh nimolia xa: no: kwaltias ta:	nunca veo que la usen para barrer. Pero, pero yo pienso que se podría usar también porque
iwkitik, a:mo teh kipolowa. Ke:mah.	son parecidas, casi es la misma planta. Así es.
Nejó:n, n' itachialis kwaltsi:n, se: xo:chitsí:n tsikitsi:n	Esa planta tiene unas florecitas bonitas pequeñas
Ompa mokehketsa n' ixo:chiotsi:n.	Ahí brotan las florecitas y son erectas.
Yo:n tanokwilpahxiwit kiliah porque kwaltia para se: itan, se: itan ka:mpa te:kokoh se: itanokwil.	Esa planta le llaman <i>tanokwilpahxiwit</i> porque se usa para curar el dolor de muela.
Pos para tepitsi:n tamati:ya.	Pues para que se calme un poquito el dolor.
Pero yo:n, i:n xiwit, ¿kimolo:ntiah?	Pero esas hojas ¿las hierven?
Mm. ¿Toni kimolo:ntia, ixiwyo oso i:xo:chio?	Mm. ¿Qué es lo que hireven, las hojas o las flores?
Entó:s ika kito:niah, pe:wa tamati:ya.	Entonces después de que suda, empieza a calmarse el dolor.
Eheh, yehwa yo:n.	Eheh, eso es.
Neh nikmattok porque se:, se:, sepa neh nimokokowa:ya wa:n nitai:k yehwa, ne:chilihkeh mah nitai yehwa.	Yo lo sé porque una, una vez yo estaba enfermo y tomé en té, me dijeron que tomara eso.
Entó:s mah se: tai yo:n para kiwa:tsa ne:n a:t ka:mpa se:, ka:mpa, ka:mpa mota:lia itech se: iihtik.	Entonces hay que tomarlo en té para que ayude a secar al agua que tiene uno dentro de abdomen.
Mm.	Mm.
Mm.	Mm.
E:xpa n' to:nal mah se: tai para se: iihtik.	Se toma tres veces al día para el dolor estomacal.
Onkak seki xiwtsí:n mono:tsa tomakilit.	Hay una plantita que se llama hierba mora.
Yo:n tomakilit kipia, ne:n, ixiwyo	La hierba mora tiene sus hojas
Wa:n ixo:chiotsi:n ista:k.	Y sus florecitas son blancas.
Mahyá: kapolin pero tsikitsitsi:n n' ita:kilo:tsi:n.	Son como capulines pero son pequeños los frutos.
Yo:n tomakilit, mochi:wa ka:mpa se: kinekis.	La hierba mora se da en cualquier lugar.
Mi:lah, kahfe:ntah, mochi:wa.	Se da en la milpa y en el cafetal.
Wa:n yo:n tehwa:n tikwih,	Y esa planta nosotros lo ocupamos,
Yo:n semi we:lik.	Esa planta es muy sabrosa.
Wa:n yo:n mah se: kimolo:nti. Se: kiteki,	Y los quelites hay que hervirlos. Se cortan,
se: kiteki ne:n kilit, yehwa n' tomakilit, se: kiteki wa:n mah se: kimolo:nti.	se cortan los quelites de hierba mora, se cortan y hay que hervirlos.
kipia miak chika:walis para tehwa:n.	contiene muchas fortalezas para nosotros.
Kipia miak chika:walis.A:mo, a:mo tikihto:tih tikokoliskwitih.	Contiene muchas fortalezas. No, no vamos a decir que nos vamos a enfermar.
Chipa:wak xiwit.	Es limpia la planta.
Wa:n i:n xiwtsí:n a:mo moskaltia ika takwalis, i:n xiwtsí:n moskaltia ika	Y esta plantita no crece con abonos químicos, esta plantita crece con
mah tikihto:ka:n tehwa:n teltapala:ntok itech n' ta:ltsí:n, yehwa yo:n kitelwelita n' tomakilit.	digamos nosotros que el suel es fértil, eso es lo que le gusta mucho esa planta de hierba mora.
Ompa wa:lmoskalti:titelkwahkwali,	Ahí crecen unas buenas plantas,
se: xola:lkone:t motano:tsa Ehkatla:n.	un pueblo pequeño que se llama Ecatlan. 
para ne:, se: yowi para Tuzamapan,	para cuando uno se va a Tuzamapan,
N' ompa yo:n tokni:wa:n semi kwa:lkwih yo:n kilit,	Las personas de allá traen mucho esos quelites,
Wa:n mah se: tahtai n' ia:yo wa:n mah se: kikwa, mah se: tai n' ia:yo,	Y hay que tomar el caldo de quelites, hay comer los quelites y hay que tomar el caldo,
wa:n chipa:wak n' a:tsi:n. Yehwa sah yo:n. A:mo nikmati, ¿xa: oksé: tatsi:ntokalis tiknekis?	y es limpio el caldito. Nada mas eso. No sé, ¿tal vez quieras hacer otras preguntas?
Yehwa sah.	Es todo.
¿Tikmatis? Yehwa yo:n kwali yetok. Ke:mah.	¿Sabes? Eso está bien. Así es.
¿Kwa:ko:n, no: pati i:n?	¿Entonces también es medicinal?
¿No: pati i:n?	¿También es medicinal?
Mm, no:, no: pahti.	Mm, también, también es medicinal.
No: pahti. Tomakilit no: pahti.	También es medicinal. La hierba mora también es medicinal.
mah se: tai wa:n mah se: kikwa.	hay que comer los quelites y hay que tomar el caldo.
¿Se: tai ia:yo?	¿Se  toma el caldo?
N' ia:yo wa:n mah se: kikwa.	Se toma el caldo y se come el quelite. 
Semi kwali nejó:n. Mm.	Ese es muy bueno. Mm. 
Mm. ¿Mah tikihto:ka:n, tikmolo:nti:s, se: kimolo:nti:s?	Mm. ¿Entonces hay que hervirlo, hay qye hervirlo?
Se: kimana.	Se hierve.
Ah.	Ah.
Se: kimolo:ntia ika ne:n a:t,	Se hierve con agua, 
wa:n ia:yotsi:n tein tamolo:ntil a, mah se: tai. Sese:k	y el caldito del que se ha hervido, uno debe tomarlo. Frío.
para mah te:chipa:wa ne: se: i:htik ka:mpa se:, se: motapeya:sowa.	para que a uno lo limpie por dentro en donde, donde se almacenan los orines.
Mm. Wa:n, ¿pero welis san se: ke:tla kikwa, se: kikwa no:?	Mm. Y, ¿pero se puede consumir como alimento también?
Ke:mah, para se: kikwas ika taxkaltsí:n.	Sí, para comer con tortillas.
ika tikmase:wah.	con eso nos alimentamos.
wa:n ika se: kikwa n' taxkaltsí:n no: pos,	y también se come con tortillas pues,
Onkak se: xiwtsí:n mono:tsa tomakilit.	Hay una plantita que se llama hierba mora.
Nejó:n tomakilit kipia n' ixo:chiotsi:n ista:k.	La hierba mora tiene unas florecitas de color blanco.
Wa:n ita:kilo:tsi:n, kipia n' ita:kilo:tsi:n seki,	Y sus frutos, tiene sus frutos son, 
seki mahyá: kapolin, tsikitsitsi:n, pisi:ltik.	son como unos capulines, son chiquitos, son pequeñitos.
ika taxkaltsí:n wa:n ia:yotsi:n sese:k.	con tortillas y el caldo es frío.
se: tai para n' se: iihtik, komohkó:n se: kipia toto:nik se: iihtik,	se puede tomar para curar la calentura, si uno tiene calentura dento de los intestinos,
Komo se: te:mpala:ni,	Si uno padece de aftas en la boca,
Mah se: tai para mah taneki:sa n' toto:nik de se: iihtik.	Hay que tomar para que baje la calentura que tiene uno en los intestinos.
¿Ixiwyo?	¿Las hojas?
Ajá, se: kikwa. Ixiwyo.	Ajá, se comen las hojas.
¿Wa:n ke:no:n?	¿Y cómo?
Se: kikwa n' ixiwyo wa:n ika taxkal,	Se comen las hojas acompañado de tortillas,
ika taxkaltsí:n.	con tortillas.
Ihkó:n tamati no: ke:meh tomakilit,	Este también se parece mucho a la hierba mora.
sano ke oksé: to:ka:it kipia.	pero tiene otro nombre.
Se: kimahse:wa ika n' taxkaltsí:n.	Se come con tortillitas.
Yehwa nejó:n tehwa:n totakwalis,	Esos son los que nosotros consumimos,
¿Kima:tsowa?	¿Se toma con los dedos para comer?
Wa:n, ne:n, ia:yotsi:n se: kipalowa.	Y el caldito se cucharea con la tortilla.
No: kwaltsi:n we:lik.	También es sabroso.
komo n' ika n' istat.	si uno le pone sal.
Pero mah se: kikwa pero mah a:mo poye:k semi, tepitsi:n, tepitsi:n sah mah poye:k.	Se puede comer pero no hay que ponerle mucha sal, hay que ponerle poquita sal.
no: miak taman onkak wa:n,	hay varios tipos y,
ox kwali se: kikwi, ka:ni mochi:wa.	si acaso se puede ocupar, donde crece
Se: yo:n tein wehkapan moskaltia ata,	Uno, es el que crece alto,
